id,bairro,classificacao,latitude,longitude,populacao,risco
33,Franco da Rocha,Deslizamento,-23.3276,-46.719,139.729,48
34,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5834,-46.5898,476.761,27
35,Mairiporã,Deslizamento,-23.2001,-46.3508,96.302,82
36,Avenida Aricanduva,Inundação,-23.5717,-46.5111,245.424,27
37,Litoral Paulista,Deslizamento,-23.4979,-48.0517,202.349,47
38,Franco da Rocha,Deslizamento,-23.3249,-46.732,129.543,50
39,Avenida Aricanduva,Inundação,-23.5622,-46.5167,266.965,24
40,Avenida Aricanduva,Inundação,-23.5627,-46.5142,281.237,28
41,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5766,-46.5795,535.282,28
42,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5859,-46.5797,547.583,27
43,Avenida Aricanduva,Inundação,-23.5645,-46.5131,233.53,25
44,Litoral Paulista,Deslizamento,-23.4936,-48.0517,190.532,49
45,Mairiporã,Deslizamento,-23.1994,-46.3449,109.196,77
46,Avenida Aricanduva,Inundação,-23.5717,-46.5144,297.805,25
47,Mairiporã,Deslizamento,-23.205,-46.3443,111.737,78
48,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5822,-46.5831,574.169,30
49,Franco da Rocha,Deslizamento,-23.3297,-46.7271,135.765,53
50,Mairiporã,Deslizamento,-23.2005,-46.3502,85.909,79
51,Litoral Paulista,Deslizamento,-23.5002,-48.0473,196.26,51
52,Franco da Rocha,Deslizamento,-23.3208,-46.7271,136.505,51
53,Mairiporã,Deslizamento,-23.2018,-46.347,84.44,80
54,Avenida Aricanduva,Inundação,-23.5655,-46.5125,296.603,25
55,Franco da Rocha,Deslizamento,-23.3148,-46.7297,152.619,53
56,Mairiporã,Deslizamento,-23.1953,-46.3581,92.132,83
57,Franco da Rocha,Deslizamento,-23.3249,-46.7323,152.801,53
58,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5751,-46.5892,456.338,33
59,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5859,-46.5856,473.383,27
60,Franco da Rocha,Deslizamento,-23.3188,-46.7292,140.938,53
61,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.577,-46.5764,561.986,28
62,Franco da Rocha,Deslizamento,-23.32,-46.7319,130.902,52
63,Avenida Aricanduva,Inundação,-23.5588,-46.5166,272.293,28
64,Mairiporã,Deslizamento,-23.2036,-46.3506,91.57,78
65,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5895,-46.5897,548.39,32
66,Mairiporã,Deslizamento,-23.209,-46.3509,105.759,80
67,Avenida Aricanduva,Inundação,-23.563,-46.5156,230.224,25
68,Mairiporã,Deslizamento,-23.2008,-46.3477,111.801,80
69,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5848,-46.5776,465.625,30
70,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5887,-46.5899,569.397,33
71,Franco da Rocha,Deslizamento,-23.319,-46.7341,168.956,53
72,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5862,-46.5888,452.43,31
73,Litoral Paulista,Deslizamento,-23.4978,-48.0535,209.636,51
74,Litoral Paulista,Deslizamento,-23.5013,-48.0578,191.55,51
75,Franco da Rocha,Deslizamento,-23.3245,-46.7335,131.949,52
76,Avenida Aricanduva,Inundação,-23.5702,-46.5167,287.016,26
77,Avenida Aricanduva,Inundação,-23.5702,-46.5101,257.901,23
78,Litoral Paulista,Deslizamento,-23.4938,-48.0576,171.089,49
79,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.582,-46.5817,527.595,33
80,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5896,-46.5809,566.035,30
81,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5808,-46.5882,546.681,29
82,Litoral Paulista,Deslizamento,-23.498,-48.0487,209.298,49
83,Avenida Aricanduva,Inundação,-23.5686,-46.5136,256.205,26
84,Mairiporã,Deslizamento,-23.2011,-46.3539,102.406,81
85,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5791,-46.5849,464.104,33
86,Avenida Aricanduva,Inundação,-23.5619,-46.5114,300.845,25
87,Franco da Rocha,Deslizamento,-23.3171,-46.7305,135.702,47
88,Mairiporã,Deslizamento,-23.1952,-46.3527,94.079,83
89,Litoral Paulista,Deslizamento,-23.5042,-48.0509,214.609,49
90,Franco da Rocha,Deslizamento,-23.324,-46.7265,150.086,47
91,Litoral Paulista,Deslizamento,-23.4937,-48.0556,170.821,47
92,Mairiporã,Deslizamento,-23.2095,-46.3542,111.045,80
93,Mairiporã,Deslizamento,-23.2031,-46.358,85.851,80
94,Franco da Rocha,Deslizamento,-23.3211,-46.7316,170.352,47
95,Litoral Paulista,Deslizamento,-23.4931,-48.0462,229.986,48
96,Litoral Paulista,Deslizamento,-23.4962,-48.0531,212.562,53
97,Avenida Aricanduva,Inundação,-23.562,-46.5036,295.276,27
98,Litoral Paulista,Deslizamento,-23.5044,-48.0555,223.737,48
99,Litoral Paulista,Deslizamento,-23.4998,-48.0581,205.083,51
100,Franco da Rocha,Deslizamento,-23.3159,-46.7312,168.617,51
101,Avenida Aricanduva,Inundação,-23.5674,-46.5057,264.537,25
102,Mairiporã,Deslizamento,-23.207,-46.354,95.911,81
103,Litoral Paulista,Deslizamento,-23.5015,-48.0527,214.673,51
104,Franco da Rocha,Deslizamento,-23.3181,-46.7241,138.41,47
105,Avenida Aricanduva,Inundação,-23.5684,-46.5031,243.943,27
106,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5898,-46.5748,431.474,31
107,Litoral Paulista,Deslizamento,-23.4921,-48.0606,203.434,50
108,Franco da Rocha,Deslizamento,-23.3216,-46.7249,159.064,53
109,Franco da Rocha,Deslizamento,-23.32,-46.7257,168.322,47
110,Mairiporã,Deslizamento,-23.2065,-46.3441,109.289,80
111,Avenida Aricanduva,Inundação,-23.5676,-46.5143,277.718,23
112,Avenida Aricanduva,Inundação,-23.5637,-46.5158,303.857,24
113,Franco da Rocha,Deslizamento,-23.3255,-46.7284,154.874,51
114,Litoral Paulista,Deslizamento,-23.4934,-48.0486,227.215,51
115,Franco da Rocha,Deslizamento,-23.3233,-46.7201,166.74,51
116,Litoral Paulista,Deslizamento,-23.5076,-48.0558,218.852,53
117,Franco da Rocha,Deslizamento,-23.324,-46.723,145.418,49
118,Mairiporã,Deslizamento,-23.2019,-46.3583,84.24,83
119,Franco da Rocha,Deslizamento,-23.3298,-46.7338,158.882,51
120,Litoral Paulista,Deslizamento,-23.4921,-48.0529,216.355,51
121,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5764,-46.5863,492.582,32
122,Franco da Rocha,Deslizamento,-23.3147,-46.7253,138.01,47
123,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5843,-46.5885,525.736,28
124,Mairiporã,Deslizamento,-23.2027,-46.3457,99.358,81
125,Mairiporã,Deslizamento,-23.2045,-46.3572,84.005,83
126,Litoral Paulista,Deslizamento,-23.4981,-48.0505,182.961,52
127,Avenida Aricanduva,Inundação,-23.5573,-46.5073,276.904,28
128,Mairiporã,Deslizamento,-23.2095,-46.3477,99.228,77
129,Avenida Aricanduva,Inundação,-23.5682,-46.5086,281.772,26
130,Avenida Aricanduva,Inundação,-23.5657,-46.5035,287.46,25
131,Litoral Paulista,Deslizamento,-23.4923,-48.0539,189.915,49
132,Mairiporã,Deslizamento,-23.2072,-46.3581,86.942,83
133,Mairiporã,Deslizamento,-23.2088,-46.349,88.498,77
134,Mairiporã,Deslizamento,-23.197,-46.3511,111.721,81
135,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5864,-46.5772,476.762,28
136,Litoral Paulista,Deslizamento,-23.5075,-48.053,202.267,50
137,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5757,-46.5882,474.515,29
138,Franco da Rocha,Deslizamento,-23.3285,-46.7273,158.705,52
139,Mairiporã,Deslizamento,-23.1963,-46.3583,91.286,77
140,Franco da Rocha,Deslizamento,-23.3204,-46.7192,151.89,52
141,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5778,-46.5818,533.077,28
142,Mairiporã,Deslizamento,-23.207,-46.3479,109.435,82
143,Mairiporã,Deslizamento,-23.2025,-46.3576,96.292,79
144,Mairiporã,Deslizamento,-23.2071,-46.355,94.233,78
145,Franco da Rocha,Deslizamento,-23.3165,-46.7336,151.834,47
146,Franco da Rocha,Deslizamento,-23.3245,-46.7274,143.71,47
147,Litoral Paulista,Deslizamento,-23.5003,-48.0525,214.424,53
148,Franco da Rocha,Deslizamento,-23.321,-46.7289,142.914,50
149,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5803,-46.5864,499.737,32
150,Litoral Paulista,Deslizamento,-23.4931,-48.0617,183.703,52
151,Avenida Aricanduva,Inundação,-23.5594,-46.5156,290.408,28
152,Franco da Rocha,Deslizamento,-23.3287,-46.7266,146.202,50
153,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5808,-46.5756,425.795,32
154,Franco da Rocha,Deslizamento,-23.3221,-46.7234,164.703,48
155,Mairiporã,Deslizamento,-23.2019,-46.3548,105.745,82
156,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5848,-46.5835,501.142,27
157,Avenida Aricanduva,Inundação,-23.5712,-46.5072,249.133,26
158,Mairiporã,Deslizamento,-23.1961,-46.3542,100.591,82
159,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5827,-46.5815,507.338,28
160,Litoral Paulista,Deslizamento,-23.497,-48.0604,178.508,47
161,Franco da Rocha,Deslizamento,-23.3281,-46.7274,155.023,49
162,Franco da Rocha,Deslizamento,-23.3164,-46.7231,146.118,51
163,Mairiporã,Deslizamento,-23.196,-46.3564,85.111,82
164,Avenida Aricanduva,Inundação,-23.5595,-46.5148,289.562,27
165,Avenida Aricanduva,Inundação,-23.5704,-46.5144,291.103,24
166,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5755,-46.5852,513.246,28
167,Mairiporã,Deslizamento,-23.201,-46.3507,96.037,77
168,Franco da Rocha,Deslizamento,-23.3243,-46.7287,151.677,51
169,Mairiporã,Deslizamento,-23.2023,-46.3524,92.928,79
170,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5878,-46.5776,518.011,30
171,Mairiporã,Deslizamento,-23.1984,-46.3569,92.309,81
172,Mairiporã,Deslizamento,-23.1991,-46.3588,99.886,78
173,Litoral Paulista,Deslizamento,-23.494,-48.0563,219.495,53
174,Avenida Aricanduva,Inundação,-23.5657,-46.5073,266.183,26
175,Litoral Paulista,Deslizamento,-23.5043,-48.0502,213.415,53
176,Mairiporã,Deslizamento,-23.1999,-46.3506,90.55,81
177,Avenida Aricanduva,Inundação,-23.5701,-46.5025,272.655,28
178,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5748,-46.5878,512.934,32
179,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5802,-46.59,555.819,30
180,Avenida Aricanduva,Inundação,-23.564,-46.5059,299.715,28
181,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5777,-46.5843,435.338,29
182,Litoral Paulista,Deslizamento,-23.5063,-48.0484,224.866,47
183,Litoral Paulista,Deslizamento,-23.4922,-48.0484,177.657,47
184,Franco da Rocha,Deslizamento,-23.3161,-46.7267,154.355,51
185,Franco da Rocha,Deslizamento,-23.3181,-46.7317,163.212,48
186,Franco da Rocha,Deslizamento,-23.3282,-46.7284,166.626,52
187,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5825,-46.5826,562.768,29
188,Mairiporã,Deslizamento,-23.2038,-46.357,88.337,83
189,Avenida Aricanduva,Inundação,-23.5663,-46.5024,255.019,28
190,Mairiporã,Deslizamento,-23.2009,-46.3591,102.635,83
191,Franco da Rocha,Deslizamento,-23.3146,-46.7326,146.393,50
192,Litoral Paulista,Deslizamento,-23.505,-48.057,188.785,52
193,Mairiporã,Deslizamento,-23.2076,-46.3449,89.181,81
194,Franco da Rocha,Deslizamento,-23.3294,-46.7274,153.164,48
195,Franco da Rocha,Deslizamento,-23.3176,-46.7277,151.34,50
196,Franco da Rocha,Deslizamento,-23.3236,-46.726,134.702,47
197,Litoral Paulista,Deslizamento,-23.5068,-48.0497,186.524,49
198,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5835,-46.5899,448.423,28
199,Litoral Paulista,Deslizamento,-23.5015,-48.053,185.419,53
200,Mairiporã,Deslizamento,-23.2029,-46.3498,93.118,81
201,Mairiporã,Deslizamento,-23.1968,-46.3504,104.316,79
202,Mairiporã,Deslizamento,-23.1956,-46.3442,87.301,82
203,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5898,-46.5889,456.183,29
204,Litoral Paulista,Deslizamento,-23.494,-48.0515,212.449,47
205,Litoral Paulista,Deslizamento,-23.5025,-48.0576,192.974,53
206,Avenida Aricanduva,Inundação,-23.5597,-46.5115,287.852,22
207,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5762,-46.5868,571.182,30
208,Franco da Rocha,Deslizamento,-23.3161,-46.7272,168.024,47
209,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5896,-46.586,506.245,31
210,Franco da Rocha,Deslizamento,-23.3259,-46.7328,165.337,50
211,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5816,-46.5876,465.846,29
212,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5815,-46.5773,499.714,28
213,Franco da Rocha,Deslizamento,-23.3235,-46.727,160.166,51
214,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5878,-46.5861,464.975,29
215,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5804,-46.5797,451.306,31
216,Franco da Rocha,Deslizamento,-23.3233,-46.7289,151.094,48
217,Avenida Aricanduva,Inundação,-23.5577,-46.5141,233.309,24
218,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5889,-46.5769,490.579,30
219,Franco da Rocha,Deslizamento,-23.3185,-46.7252,170.492,53
220,Litoral Paulista,Deslizamento,-23.5003,-48.0575,202.593,49
221,Mairiporã,Deslizamento,-23.1975,-46.3458,111.196,79
222,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.58,-46.5827,476.658,27
223,Franco da Rocha,Deslizamento,-23.3221,-46.724,147.304,53
224,Mairiporã,Deslizamento,-23.1979,-46.3465,103.549,82
225,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5884,-46.5853,546.115,27
226,Litoral Paulista,Deslizamento,-23.4954,-48.0508,201.479,50
227,Mairiporã,Deslizamento,-23.1993,-46.3464,102.495,82
228,Franco da Rocha,Deslizamento,-23.3155,-46.7247,158.948,47
229,Litoral Paulista,Deslizamento,-23.4973,-48.0611,205.501,47
230,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5809,-46.5757,430.092,31
231,Franco da Rocha,Deslizamento,-23.3269,-46.7332,146.715,51
232,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5781,-46.5894,493.272,29
233,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5797,-46.5799,479.705,30
234,Avenida Aricanduva,Inundação,-23.5653,-46.5028,268.415,23
235,Avenida Aricanduva,Inundação,-23.5638,-46.5041,269.064,27
236,Franco da Rocha,Deslizamento,-23.3182,-46.7267,146.942,50
237,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5896,-46.5764,428.19,33
238,Litoral Paulista,Deslizamento,-23.4995,-48.0468,218.145,53
239,Avenida Aricanduva,Inundação,-23.5722,-46.5156,229.1,25
240,Franco da Rocha,Deslizamento,-23.3207,-46.7307,145.657,52
241,Franco da Rocha,Deslizamento,-23.3246,-46.7266,160.71,47
242,Mairiporã,Deslizamento,-23.2035,-46.3545,108.19,78
243,Litoral Paulista,Deslizamento,-23.5073,-48.0615,229.493,47
244,Franco da Rocha,Deslizamento,-23.3237,-46.733,170.813,51
245,Litoral Paulista,Deslizamento,-23.5039,-48.0524,229.169,53
246,Mairiporã,Deslizamento,-23.1965,-46.3435,104.978,80
247,Mairiporã,Deslizamento,-23.2046,-46.3459,89.927,79
248,Litoral Paulista,Deslizamento,-23.5061,-48.061,193.238,47
249,Franco da Rocha,Deslizamento,-23.3147,-46.7218,163.797,52
250,Franco da Rocha,Deslizamento,-23.3217,-46.7254,151.369,49
251,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5818,-46.5824,574.45,29
252,Mairiporã,Deslizamento,-23.2074,-46.3557,98.92,77
253,Avenida Aricanduva,Inundação,-23.5637,-46.5155,296.121,24
254,Mairiporã,Deslizamento,-23.2089,-46.3451,111.209,80
255,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.577,-46.5798,507.629,29
256,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5835,-46.5843,463.963,31
257,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5815,-46.5749,441.42,30
258,Litoral Paulista,Deslizamento,-23.4921,-48.0608,223.197,52
259,Litoral Paulista,Deslizamento,-23.4935,-48.0527,209.936,49
260,Litoral Paulista,Deslizamento,-23.5037,-48.0477,218.063,50
261,Franco da Rocha,Deslizamento,-23.3275,-46.7324,142.759,51
262,Franco da Rocha,Deslizamento,-23.3151,-46.7333,159.21,50
263,Litoral Paulista,Deslizamento,-23.4939,-48.0479,171.927,53
264,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5879,-46.5849,536.526,33
265,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5769,-46.577,501.12,33
266,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5854,-46.5804,572.178,27
267,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5799,-46.5817,541.977,32
268,Mairiporã,Deslizamento,-23.1988,-46.3506,111.424,83
269,Avenida Aricanduva,Inundação,-23.5629,-46.5021,234.28,25
270,Avenida Aricanduva,Inundação,-23.562,-46.5159,250.117,22
271,Avenida Aricanduva,Inundação,-23.5719,-46.5077,253.701,23
272,Mairiporã,Deslizamento,-23.1974,-46.3435,103.002,80
273,Avenida Aricanduva,Inundação,-23.5626,-46.5075,256.712,26
274,Mairiporã,Deslizamento,-23.1979,-46.3534,107.192,79
275,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.59,-46.5878,495.281,30
276,Franco da Rocha,Deslizamento,-23.3284,-46.7213,151.459,51
277,Litoral Paulista,Deslizamento,-23.5032,-48.0484,216.586,50
278,Mairiporã,Deslizamento,-23.2066,-46.3441,87.593,80
279,Litoral Paulista,Deslizamento,-23.4929,-48.0551,208.52,52
280,Mairiporã,Deslizamento,-23.2066,-46.3436,95.174,80
281,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5866,-46.5898,522.75,30
282,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5762,-46.5827,570.229,32
283,Franco da Rocha,Deslizamento,-23.3161,-46.7226,162.452,52
284,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5778,-46.5803,444.687,31
285,Avenida Aricanduva,Inundação,-23.5575,-46.514,262.975,27
286,Franco da Rocha,Deslizamento,-23.3203,-46.731,152.874,47
287,Avenida Aricanduva,Inundação,-23.572,-46.5077,247.566,24
288,Litoral Paulista,Deslizamento,-23.5056,-48.0544,211.038,48
289,Mairiporã,Deslizamento,-23.1999,-46.3455,106.049,79
290,Mairiporã,Deslizamento,-23.2093,-46.3554,112.119,83
291,Avenida Aricanduva,Inundação,-23.5618,-46.508,226.88,25
292,Franco da Rocha,Deslizamento,-23.3217,-46.7336,143.508,47
293,Litoral Paulista,Deslizamento,-23.5067,-48.0554,178.141,53
294,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.579,-46.5775,455.023,33
295,Avenida Aricanduva,Inundação,-23.5713,-46.5068,282.477,27
296,Franco da Rocha,Deslizamento,-23.315,-46.7342,152.102,48
297,Avenida Aricanduva,Inundação,-23.5591,-46.5056,290.078,27
298,Mairiporã,Deslizamento,-23.2032,-46.3487,99.391,82
299,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5775,-46.5826,431.113,30
300,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.583,-46.5787,513.992,30
301,Litoral Paulista,Deslizamento,-23.5003,-48.0519,189.931,52
302,Avenida Aricanduva,Inundação,-23.5611,-46.5031,260.706,24
303,Avenida Aricanduva,Inundação,-23.5641,-46.5055,244.331,22
304,Mairiporã,Deslizamento,-23.2006,-46.3561,103.125,81
305,Franco da Rocha,Deslizamento,-23.3166,-46.7322,171.009,48
306,Litoral Paulista,Deslizamento,-23.4945,-48.0517,214.335,52
307,Avenida Aricanduva,Inundação,-23.5649,-46.5083,267.117,22
308,Avenida Aricanduva,Inundação,-23.5725,-46.5107,274.474,28
309,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5773,-46.5798,573.82,28
310,Litoral Paulista,Deslizamento,-23.5046,-48.0518,208.102,53
311,Franco da Rocha,Deslizamento,-23.3279,-46.7235,168.677,53
312,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5862,-46.5748,452.147,31
313,Litoral Paulista,Deslizamento,-23.501,-48.0602,194.496,52
314,Franco da Rocha,Deslizamento,-23.3194,-46.7335,157.098,47
315,Franco da Rocha,Deslizamento,-23.3236,-46.7213,128.112,47
316,Avenida Aricanduva,Inundação,-23.5709,-46.5015,262.312,24
317,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5888,-46.5876,502.966,28
318,Avenida Aricanduva,Inundação,-23.5597,-46.5101,245.947,24
319,Avenida Aricanduva,Inundação,-23.5617,-46.5143,239.476,22
320,Mairiporã,Deslizamento,-23.1992,-46.3487,97.09,77
321,Avenida Aricanduva,Inundação,-23.5659,-46.5032,270.64,24
322,Litoral Paulista,Deslizamento,-23.5075,-48.046,177.556,51
323,Avenida Aricanduva,Inundação,-23.5722,-46.5068,244.031,26
324,Litoral Paulista,Deslizamento,-23.5066,-48.0601,205.285,50
325,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5836,-46.5826,527.895,32
326,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5848,-46.5747,512.017,33
327,Mairiporã,Deslizamento,-23.2032,-46.3486,87.259,82
328,Litoral Paulista,Deslizamento,-23.5057,-48.0468,214.188,48
329,Litoral Paulista,Deslizamento,-23.5065,-48.051,196.822,51
330,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5794,-46.5746,481.145,32
331,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5861,-46.577,554.691,27
332,Avenida Aricanduva,Inundação,-23.5712,-46.5043,299.41,22
333,Mairiporã,Deslizamento,-23.1959,-46.3461,102.736,77
334,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5844,-46.5878,515.743,33
335,Franco da Rocha,Deslizamento,-23.3161,-46.7191,161.618,51
336,Litoral Paulista,Deslizamento,-23.5034,-48.0601,209.24,52
337,Avenida Aricanduva,Inundação,-23.5623,-46.5041,286.93,22
338,Mairiporã,Deslizamento,-23.1971,-46.3533,91.873,83
339,Franco da Rocha,Deslizamento,-23.3247,-46.7249,155.191,53
340,Litoral Paulista,Deslizamento,-23.5019,-48.053,205.995,47
341,Mairiporã,Deslizamento,-23.2074,-46.3581,100.871,82
342,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5779,-46.5823,506.355,28
343,Avenida Aricanduva,Inundação,-23.5726,-46.5115,256.44,23
344,Litoral Paulista,Deslizamento,-23.5041,-48.0542,193.856,53
345,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5786,-46.582,548.359,29
346,Litoral Paulista,Deslizamento,-23.4936,-48.0579,225.848,53
347,Avenida Aricanduva,Inundação,-23.558,-46.5114,234.193,26
348,Avenida Aricanduva,Inundação,-23.5689,-46.5124,250.622,28
349,Avenida Aricanduva,Inundação,-23.5644,-46.512,274.805,23
350,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5856,-46.5837,443.283,29
351,Avenida Aricanduva,Inundação,-23.5701,-46.5086,282.682,22
352,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.587,-46.5756,488.679,32
353,Franco da Rocha,Deslizamento,-23.324,-46.7266,132.767,51
354,Litoral Paulista,Deslizamento,-23.4939,-48.0582,182.905,48
355,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5842,-46.5758,540.492,27
356,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5859,-46.5855,534.794,30
357,Avenida Aricanduva,Inundação,-23.5623,-46.504,287.279,23
358,Franco da Rocha,Deslizamento,-23.3232,-46.7326,138.307,50
359,Avenida Professor Luiz Ignácio Anhaia Mello,Inundação,-23.5824,-46.5817,451.767,31
360,Mairiporã,Deslizamento,-23.2013,-46.3506,89.968,82
361,Litoral Paulista,Deslizamento,-23.4985,-48.0539,229.496,49
